text,heading,chemicals,link,conflict,paper
"Under these conditions, a 3.42 g (20 mmol) scale reaction (2.0 L) reached 85% conversion at 40 h leading to a 48% isolated yield of (1S,2S)-14 (>99% ee), the absolute configuration here being established by correlation with the single crystal X-ray structure of the product from a reaction with the RP/HL/IG/AI variant. From a separate reaction (1.0 mmol of 12a), sufficient of the minor cis-1,2 metabolite 16 (93% ee) was obtained to allow assignment of its absolute configuration as (1R,2S)- by chemical correlation [see section S5.5]. Repeated screening reactions of substrate 12a with selected mutants established the reproducibility of the hydroxylation. With five representative enzymes, the absolute values of the conversion, selectivity, and ee varied by ?1ñ5%, ?1ñ8%, and <1%, respectively [see section S3.3].
For 12b, second-round screening using a sublibrary of variants designed to increase the steric demand of active site residues by including larger amino acids such as tryptophan, showed variants RT2/FW and RT2/AW to be particularly reactive and selective for the trans-1,3 metabolite 18 with few other side-products generated. Reactions with RT2/AW scaled up more successfully, and from 0.1 to 0.6 mmol of substrate 12b, product 18 was isolated in 46ñ65% yield. From these reactions, a sample of the minor cis-1,2 metabolite 21 was obtained, assigned as (1S,2R)- from the single crystal diffraction study, complementary to (1R,2S)-16 obtained from 12a.
Substrate 12c was sufficiently soluble in the aqueous buffer used in the hydroxylation reactions that an organic cosolvent was unnecessary, and this allowed the detrimental effect of typical cosolvents on reactivity to be highlighted. With variant KU3/AP/SW, conversion of substrate 12c (0.1 mmol) after 48 h was approximately two to three times higher with 12c added neat than when the substrate was added as a solution in DMSO or ethanol [see section S5.3.2]. With this modification, a preparative-scale reaction showed 88% selectivity for the 2-position and the cis 22 and trans 23 isomers were isolated in 22% and 26% yield, respectively. The assigned (1S,2R)- absolute configuration of the cis isomer 22 was supported by Mosherís ester analysis [see section S6.4]. The improved efficiency of this reaction enabled the minor 3-hydroxylated metabolites to be isolated as an unseparated mixture of the cis 24 and trans 25 isomers (8.5%, 60:40 ratio).
Turning to the BCPA series, of the two potential oxidation sites in the BCP ring the high strength of the bridgehead methine CñH bond (BDE ?110 kcal molñ1) (21) likely precludes biocatalytic hydroxylation at that site; accordingly, interest focused on achieving enantioselective hydroxylation of one of the methylene bridging groups. N-Boc BCPA 13a showed modest reactivity during screening, with the most efficient variant GV/AI achieving 58% conversion, of which 69% was the desired 2-hydroxylation product 26 (Figure 3), with 66% ee in favor of the (2R)-enantiomer. The reaction scaled well to produce (2R)-26 in 44% isolated yield from 1.5 mmol of substrate 13a and recrystallization led to a sample in >99% ee from which the absolute configuration was established from single crystal X-ray diffraction studies [see sections S6.5 and S8]. Just 10 of the other enzyme variants gave 20% or greater conversion, in each case affording 26 with enantiomeric excess ranging from 77% (2R)- to 47% (2S)- although higher values (up to 82%-R and 58%-S) were found for some of the less reactive enzyme variants. In this substrate, oxidation of the Boc group was observed, giving hydroxymethyl compound 27 and cyclic hemiaminal 28 [crystallographic data, section S8], usually as minor products in about a quarter of the variants.",result and discussion,"amino acids, tryptophan, DMSO, ethanol, N-Boc BCPA,  methine, methylene, cyclic hemiaminal",,"(1S,2S)-14, RP/HL/IG/AI variant, cis-1,2 metabolite, (1R,2S)-16, RT2/FW variant, RT2/AW variant, trans-1,3 metabolite 18, (1S,2R)-21, KU3/AP/SW variant, cis isomer 22, trans isomer 23, cis 24, trans 25 isomers, N-Boc BCPA 13a, GV/AI variant, 2-hydroxylation product 26, hydroxymethyl compound 27, cyclic hemiaminal 28",
"The screening panel had captured a wide range of reactivity and enantioselectivity, and preliminary attempts to improve these parameters by rational mutagenesis around key residues (data not shown) were not productive. The tert-butyl substituent of the Boc group is roughly isosteric with the BCP core; therefore, the termini of substrate 13a are poorly differentiated and additionally may limit access of the central heteroatom functionality to the active site residues, both factors likely to negatively impact conversion and selectivity. In view of this, the benzyloxycarbonyl (Cbz) analogue 13d was screened, and this was found to be significantly more active than 13a, with 20 of the enzyme variants achieving at least 80% conversion to products. The 2-hydroxylation product 29 dominated over all other identifiable metabolites for over one-third of the enzymes and enantiomeric excesses >90% were achieved in nine cases. The major enantiomer of this metabolite was in the same series throughout, shown to be 2R- by comparison of its chiral GC data with a sample prepared from (2R)-26 by Boc deprotection and formation of the Cbz derivative [see section S5.5]. No correlation of the ee values for 26 and 29 with the enzyme variants could be discerned across the two series; for example, variants that delivered 29 in ?90% or greater ee gave ees for 26 ranging from ?50 to +50%, and those giving racemic 29 gave 26 in ees up to 82%. The hydroxylation with variant K19/FV/QP was scaled up to prepare 74 mg of alcohol 29 from 1.4 mmol of substrate 13d [39% based on recovered 13d (42%)] from which side-products were observed by NMR spectroscopy that had not been discernible using the GC parameters employed during screening. These included benzyl carbamate and (2-hydroxymethyl)phenol, the latter likely arising from sequential aryl and benzylic hydroxylation and then reduction of the so-formed salicylaldehyde.",result and discussion,"Benzyl carbamate, (2-hydroxymethyl)phenol, Salicylaldehyde, benzyloxycarbonyl",,"Boc group, BCP core, Substrate 13a, Substrate 13d, 2-hydroxylation product 29, (2R)-26, tert-butyl substituent",
"Direct hydroxylation of CBA and BCPA cores provides difunctionalized templates from which selective transformations of either the protected amine or the free alcohol functionality can lead rapidly to diverse small-molecule collections. (22) As summarized in Scheme 1, the newly introduced hydroxyl group in (1S,2S)-14 is compatible with removal of the Boc group and N-acylation to give, in this case, a substrate 30 for potential elaboration by cross-coupling chemistry. Conversely, the NHBoc substituent is compatible with oxidation to ketone 31, under conditions that result in minimal loss of enantiopurity (98% ee). Selective O-functionalization is illustrated for both (1S,2S)-14 and 18 in two medicinal-chemistry relevant applications. First, the 2-aminocyclobutyl ester derivative 32 of probenecid, an antihyperuricemic drug, was obtained by Steglich esterification. Second, the 5-bromo regioisomer 33 of a key intermediate in Amgenís synthesis of candidate PDE10 inhibitors was prepared by SNAr reaction as a single diastereomer; this compares favorably with the published route, which starts with the considerably more expensive 3-oxocyclobutane carboxylic acid and gives a mixture of diastereomers of the 3-bromo regioisomer in 5% overall yield. (23)",result and discussion,"amine, alcohol, 2-aminocyclobutyl ester, probenecid, 3-oxocyclobutane carboxylic acid ",,"CBA core, BCPA core, (1S,2S)-14, Boc group, N-acylation, substrate 30, ketone 31, 2-aminocyclobutyl ester derivative 32,  5-bromo regioisomer 33",
"In combination with varying the N-substituent, the chosen enzymes, representing ?10% of the larger enzyme library, achieved selective hydroxylation at the 2- and 3-positions in CBA with all diastereomers being accessible. In the absence of targeted mutagenesis campaigns, almost quantitative substrate conversion and 70ñ80% selectivity were achieved for the trans diastereomers, and high enantioselectivity was found for the 1,2-regioisomers. With BCPA carbamates, reliable hydroxylation at the bridging methylenes generated products in both enantiomeric series with ee values spanning the range ?58% [(2S)-26] to >99% [(2R)-29]. Accordingly, this study confirms that when combined with trivial substrate modifications, a highly focused subset of the existing P450BM3 library can achieve strategic CñH hydroxylation to provide high value chiral product molecules. The selectivity of high-performing variants for each product can be enhanced by combining impactful mutations from screening and site-saturation mutagenesis. In principle, further screening could identify variants capable of transforming the first-round metabolites and derivatives leading to trisubstituted small ring amines.",conclusion,"enzyme, CBA, BCPA carbamates, methylenes, P450BM3, amines",,,
"Solvents and reagents were used as commercially supplied or were purified by standard techniques. Acetonitrile, diethyl ether (ëetherí), dichloromethane and benzene were obtained from Grubbs canisters, with the solvent passing through an activated alumina column under argon. THF was freshly distilled over Na/benzophenone. H¸nigís base and triethylamine were distilled over KOH and stored under argon. All glassware was dried with a heat-gun before use. All organic synthesis reactions were run under nitrogen or argon atmosphere unless otherwise stated",general proceduce,"Acetonitrile, diethyl ether, dichloromethane, benzene, argon, THF, Na/benzophenone, base, triethylamine, KOH, nitrogen ",,,support information
"Media components, kanamycin and IPTG were supplied by Melford Laboratories, UK; lysozyme was from Sigma-Aldrich, NADP+ was from Prozomix and glucose dehydrogenase (GDH) was from Codexis, USA. Oligonucleotides were supplied by Eurofins Genetic Service, UK. Standard phosphate buffer used as reaction media in biotransformations was prepared from KH2PO4 (2.40 g) and K2HPO4 (31.7 g) dissolved in deionized water (1.0 L), and the pH adjusted to 7.9 (by addition of small amounts of either phosphate salt) before use. Merck aluminium-backed DC60 F254 plates (0.2 mm) were used for TLC analysis and were visualized with ultra-violet light before staining with KMnO4, phosphomolybdic acid or vanillin staining solutions and developed with heat. Merck silicagel 60 (43ñ60 ?m) was used for column chromatography and the solvent system used and retention factors are recorded with experimental data.",general proceduce,"lysozyme, NADP+, glucose dehydrogenase (GDH), phosphate, KH2PO4, K2HPO4, deionized water,phosphate salt, KMnO4, phosphomolybdic acid, vanillin",,,
"Proton (1H) and carbon (13C) NMR spectra were recorded on Bruker AVIII 400 MHz, 500 MHz or 600 MHz spectrometers as specified. Chemical shift (?H and ?C) values are recorded to the nearest 0.01 ppm and 0.1 ppm, respectively; coupling constants have been rounded to the nearest 0.5 Hz. Peak multiplicities are described as apparent (app.), broad (br.), singlet (s), doublet (d), triplet (t), quartet (q), etc., combinations thereof, or multiplets (m). NMR spectra are referenced (in MestReNova) to the appropriate solvent resonance: CDCl3 7.26/77.16 ppm; DMSO-d6 2.50/39.52 ppm. Peak assignments were made based on chemical shift, integration, coupling constants, COSY and HSQC spectra. HMBC spectra were obtained in selected cases as necessary. Infra-red (IR) spectra were recorded using a Bruker Tensor 27 FT-IR spectrometer. Absorption maxima are reported in wavenumbers/cmñ1 and described as strong (s), medium (m), weak (w) and broad (br.) relative to the most intense peak; weak peaks not attributed to a specific functional group are not reported. High resolution mass spectra were obtained for novel compounds on a Bruker Daltronics MicroTOF spectrometer (ESI); mass to charge ratios (m/z) are reported in Daltons. Melting points were recorded in degrees Celsius (∞C) using a Griffin melting point apparatus. Optical rotation data were acquired on a UniPol 2000 digital polarimeter (Schmidt & Haensch, Germany). Measurements were taken at 25 ∞C using a wavelength of 589.44 nm. The pathlength of the cell was 1 dm. Specific rotations, [a]25 D , were calculated by the formula [a]25 D = a/(l◊c), where a is the average of 10 readings taken from the polarimeter, l is the pathlength in decimetres, and c is the sample concentration in g/100 mL.",general proceduce,"Proton,carbon, DMSO-d6",,,
Total Synthesis of (+)-Euphorikanin A via an Atropospecific Cascade,title,(+)-Euphorikanin A ,https://pubs.acs.org/doi/10.1021/jacs.3c11000,,Communication
"A total synthesis of the ingenane-derived diterpenoid (+)-euphorikanin A is described. Key to the strategy is a stereocontrolled one-pot sequence consisting of transannular aldol addition reaction, hemiketal formation, and subsequent semipinacol rearrangement that efficiently leads to the complete euphorikanin skeleton. Atroposelective ring-closing olefin metathesis proved critical for the stereospecific cascade, leading to formation of a (Z)-bicyclo[7.4.1]tetradecenone core. An additional salient feature of the route is pyrolysis of a bis-methylxanthate to cleanly furnish the natural product.",abstract,"diterpenoid (+)-euphorikanin A, hemiketal, euphorikanin, olefin, (Z)-bicyclo[7.4.1]tetradecenone, bis-methylxanthate",,,
"The Euphorbiaceae plant family produces a range of bioactive natural products, most notably the ingenane diterpenoids, (1?4) which have been the subject of extensive synthetic studies for decades. (5) Isolated in 2016 by Zhang and co-workers from Euphorbia kansui, (+)-euphorikanin A (1) (Scheme 1) has been proposed to be a rearranged ingenane. (6) The intriguing 5/6/7/3-fused tetracyclic skeleton in combination with the [3.2.1]-bridging ?-lactone renders (+)-euphorikanin A (1) a significant synthetic challenge. (7) To date, two total syntheses of 1 have been reported. The first proceeded in 19 steps from (+)-carene and featured a reductive annulation reaction that installed ring-A and ?-lactone in one step. (8) A second approach showcased a benzilic acid type rearrangement in the final step to access the ?-lactone in overall 30 steps from (+)-carene. (9) Common to both approaches is the assembly of the A and B rings in a sequential manner. We envisioned an alternative strategy in which the A and B rings along with the ?-lactone would be constructed from a functionalized 10-membered ring in a single operation. Herein we report a novel synthesis of (+)-euphorikanin A (1). At the heart of the approach is a sequence of transformations that includes the formation of bicyclo[7.4.1]tetradecene I via ring-closing metathesis (RCM) and a cascade from trione II to the euphorikanin skeleton IV. We showcase that the formation of atropisomeric bicyclic rings is influenced by the configuration of the acyclic chains in the RCM precursor. Conversion of II to IV proceeds in one pot through a sequence of reactions consisting of transannular aldol addition, formation of hemiketal III, and semipinacol rearrangement to afford the complete skeleton of euphorikanin A. The stereochemical challenge presented by target 1 is thus addressed by a series of atropospecific transformations.",NA,"diterpenoids, (+)-euphorikanin A, [3.2.1]-bridging ?-lactone, (+)-carene, ?-lactone, benzilic acid, bicyclo[7.4.1]tetradecene I, hemiketal III",,,
"To complete the synthesis, 14 was treated with n-Bu4NF to furnish triol 18 (99%) (Scheme 6). Subjection of the triol to Burgessí reagent, Martin sulfurane, SOCl2/py, or Tf2O/K2CO3 failed to give 1. Instead, selective formation of the methylxanthates afforded 19 in 91% yield. (25) Subjecting 19 to standard Chugaev elimination conditions (mesitylene 160 ∞C, 1,2-dichlorobenzene 180 ∞C, microwave irradiation), merely led to complex mixtures. (26)",NA,"n-Bu4NF, Burgessí reagent, Martin sulfurane, SOCl2/py, Tf2O/K2CO3, methylxanthates, mesitylene, 1,2-dichlorobenzene ",,,
"Borrowing from techniques of flash vacuum pyrolysis, (27,28) we devised a procedure in which 19 was heated under reduced pressure with an open flame and the product condensed at ?78 ∞C. (29) After purification, (+)-euphorikanin A (1) was isolated in 68% yield, successfully concluding the synthesis. All analytical data (1H NMR, 13C NMR, IR, HRMS, [?]D) of synthetic 1 were in agreement with those of natural and previously synthesized material.",NA,(+)-euphorikanin A ,,,
"In conclusion, we report a novel total synthesis of (+)-euphorikanin A (1) in 15 steps from (+)-3-carene. Ring-closing olefin metathesis leads to a (Z)-bicyclo[7.4.1]tetradecenone core, which exists as two possible atropisomers. A key observation from the study is that the configuration of the side chains influences atropisomer formation, which proved critical for the subsequent atropospecific cascade. The sequence consisted of transannular aldol addition reaction, hemiketal formation, and subsequent semipinacol rearrangement to efficiently furnish the complete skeleton of (+)-euphorikanin A (1). Strategically, the work more broadly demonstrates that fused, polycyclic frameworks can be prepared efficiently from medium-sized bicyclic systems. Importantly, the generation of atropisomerism may increase the complexity of an intermediate in the route, however, with the payoff that it can serve as an element of stereocontrol and facilitate transannular transformations",NA,"(+)-euphorikanin A , (+)-3-carene, (Z)-bicyclo[7.4.1]tetradecenone, hemiketal",,,
The Role of Surface Complexes in Ketene Formation from Fatty Acids via Pyrolysis over Silica: from Platform Molecules to Waste Biomass,title,"Ketene, Fatty Acids, Silica",https://pubs.acs.org/doi/10.1021/jacs.3c06966,,
"Fatty acids (FA) are the main constituents of lipids and oil crop waste, considered to be a promising 2G biomass that can be converted into ketenes via catalytic pyrolysis. Ketenes are appraised as promising synthons for the pharmaceutical, polymer, and chemical industries. Progress in the thermal conversion of short- and long-chain fatty acids into ketenes requires a deep understanding of their interaction mechanisms with the nanoscale oxide catalysts. In this work, the interactions of fatty acids with silica are investigated using a wide range of experimental and computational techniques (TPD MS, DFT, FTIR, in situ IR, equilibrium adsorption, and thermogravimetry). The adsorption isotherms of linear and branched fatty acids C1ñC6 on the silica surface from aqueous solution have been obtained. The relative quantities of different types of surface complexes, as well as kinetic parameters of their decomposition, were calculated. The formation of surface complexes with a coordination bond between the carbonyl oxygens and silicon atoms in the surface-active center, which becomes pentacoordinate, was confirmed by DFT calculations, in good agreement with the IR feature at ?1680 cm 1. Interestingly, ketenes release relate to these complexesí decomposition as confirmed by the thermal evolution of the absorption band (1680 cmñ1) synchronously with the TPD peak of the ketene molecular ion. The established regularities of the ketenezation are also observed for the silica-induced pyrolysis of glyceryl trimyristate and real waste, rapeseed meals.",abstract,"Fatty acids (FA), lipids, ketenes, oxide, silica, carbonyl oxygens, silicon atoms, glyceryl trimyristate",,,
"Interest in the industrial application of vegetable oils and fats for developing renewable energy sources, biofuels, and oleochemicals has rapidly increased in recent years. (1) The hydrolysis of triglycerides into glycerine and mixed fatty acids is a major process to convert biomass into biobased chemicals and fuels. (2) Pyrolysis and thermochemical conversion of vegetable oils and fats into oleochemicals and fuels is inexpensive and requires mild temperatures.",introduction,"triglycerides, glycerine",,,
"Fatty acids (FA) are main constituents of vegetable oils and fats. (2,5) Short-chain acids (ethanoic, butanoic, pentanoic, 4-oxopentanoic acid (levulinic), etc.) and various furan derivatives with a carboxyl group (furandicarboxylic acid, etc.) can be obtained in large volumes through biochemical and chemical catalysis of lignocellulosic biomass. (6,7) The short- and long-chain fatty acids and some other acids are used as platform molecules in biomass conversion technologies and as building blocks in producing pharmaceuticals, polymers, and fine chemicals.",introduction,"Fatty acids (FA), ethanoic, butanoic, pentanoic, 4-oxopentanoic acid (levulinic), furandicarboxylic acid",,,
"The catalytic pyrolysis of carboxylic acids is an environmentally benign, one-step process that avoids toxic reagents and solvents and does not generate harmful byproducts. (6,10) The most common catalysts are inorganic oxides based on Al, Si, Ti, Zr, Ce, Zn, Mg, Fe, Ni, Co, etc. (11,12) These catalysts are employed to obtain alkanes, aldehydes, ketones, and ketenes. (12?15) Among these inorganic supports, silica and its derivatives with controlled particle size, morphology, and surface area provide good mechanical properties, thermal stability, accessible functionalization properties, and resistance against attacks by organic solvents, making them popular catalysts for pyrolysis.",introduction,"carboxylic acids, Al, Si, Ti, Zr, Ce, Zn, Mg, Fe, Ni, Co, alkanes, aldehydes, ketones, and ketenes, silica",,,
"Ketenes are widely used in industrial chemistry. (17) The catalytic production of ketenes by pyrolysis of carboxylic acids proceeds at lower temperatures and is less harmful to the environment than traditional synthesis methods. (18,19) The traditional methods of ketene production, such as thermal pyrolysis of carboxylic acids and ketones, dehalogenation of ?-halo acyl halides, and dehydrohalogenation of acyl halides with tertiary amines in a solvent, are multistep processes with the utilization of hazardous reagents and solvents producing chlorinated byproducts. (20) Therefore, ketene production by the catalytic pyrolysis of carboxylic acids over silica is an environmentally benign alternative. (21) Thus, investigation of the catalytic pyrolysis mechanism of carboxylic acids over silica is essential for further developing oleochemical production methods.",introduction,"Ketenes, carboxylic acids, ketones, ?-halo acyl halides, acyl halides, tertiary amines, silica",,,
"Ketenes attract significant interest as synthons in organic synthesis due to their high reactivity and nucleophilicity. (17,22) Importantly, ketenes are considered privileged synthons in the syntheses of three-, four-, five-, and six-membered heterocycles. (23) They can be used to synthesize any organic acid derivatives and as acylating agents, (24) for example, in the catalytic acylation of anisole by acetic anhydride to yield p-methoxyacetophenone. (25,26) Ketenes are also used in pharmaceutical applications such as preparing ?-lactam antibiotics. ",introduction,"Ketenes, anisole, acetic anhydride, p-methoxyacetophenone",,,
